lemma,definition
زَبَّاء,صفة مشبهة لفعل زَبّ
مَحْرَك,أَصل العُنق من أَعلاه. وهو منتهى العنق عِنْد المَفْصِل من الرَّأْس.
وِثَاق,ما يُشَدُّ به، كالحَبْل وغيره.
حُرْقُوف,الدَّابَّة المهزولة.
خَاضِب,من البهائم: ما أَكل الخَضْبَ.
هُدُوّ,السُّكون في اللَّيْلِ وغيره.
لَغْو,ما لا يُعتدّ به من كلام وغيره، ولايُحصَل منه على فائدة ولانفع.
طَائِق,الطَّوْق أَو ما يشبهه.
إِغْرِيض,ما ينشَقُّ عنه الطَّلع من الحبيبات البيض.
حَذَايَا,جمع للاسم حَذِيَّة
خَلِقَة,السَّحَابة المُسْتَوِيَة  المُخِيلَة للمطر.
دُمَعَاء,جمع للاسم دَمِيع
كَثْرَة,نَقيض القِلَّة. نماء العَدَد. وقد تستعمل في زيادة الفَضْل (الزِّيَادَة الحِسِّيَّة أو المعنوية).
جَرْو,الثَّمَرُ أَوَّل ما يَنْبُتُ غَضّاً.
أَعْلاَق,جمع للاسم عِلْق
أَخْسَاف,جمع للاسم خَسْف
مُخَصِّبَات,جمع للاسم مُخَصِّب
حَاسِم,القاطع.
مُصْعَة,ثمرةُ العَوْسَج.
نَهَج,الرَّبْو.
مَرَقّ,ما رَقَّ من الشَّيْء.
ارْتِجَاج,في الطِّبّ: الارتجاج المخِّيّ: اختلاف في وظائف المخ نتيجة ضربةٍ على الرَّأْس أَو هزَّة عنيفة، ومن أعراضه: الغثيان والدّوار يعقبه سُبات مع بطء في التَّنفّس ولا يستلزم وجود تغيّرات عضويَّة في المخّ. وهو قابل للشفاء إن شاء الله.
جَأْبَة,مُؤَنَّث الجَأْب.
دَفَاء,مصدر لفعل دَفِئ
هِدْأَة,الهُدُوء.
ثَغَم,مصدر لفعل ثَغِمَ
قَحْم,من بلغ أَكبر العُمُر من النَّاس والحيوان.
صِرَافَة,مهنة الصَّراف.
عَاطُوف,مِصْيَدَةٌ فيها خَشَبَةٌ مَعْقُوفَة.
زَاعَة,الشُّرَط، كأَنه جمْعُ زَائِع.
بُتُوء,مصدر لفعل بَتَأ
حَافِظ,الحارسُ.
رُعَال,ما سال من الأَنْف.
حَذَمَان,مصدر لفعل حَذَمَ
فِقِرَات,جمع للاسم فَقَارَة
أَكْدَاس,جمع للاسم كُدْس
سُخْرَة,ما سَخَّرْتَهُ من دابةٍ، أَو رجلٍ بلا أَجرٍ ولاثمن.
قُبْضَة,ما قَبَضْتَ عليه من شيء.
سِيَاقَة,مصدر لفعل سَاق
هَتِيمَة,الصَّغِيرَةُ من الحَمْض.
رَوَاحِيل,جمع للاسم رَاحُول
هَبْز,مصدر لفعل هَبَز
رَصِفَة,صفة مشبهة لفعل رَصِف
وَرْقَة,في القَوْس: العَيْب.
إِكْلَة,مصدر لفعل أَكَلَ
فُرُوسِيَّة,مصدر لفعل فَرُس
أَرْكُب,جمع للاسم رَكْب
رَهِق,صفة مشبهة لفعل رَهِق
عَقَّاد,مبالغة في  العاقد.
جِرْيَال,صِبْغٌ أَحمر. أَو ماءُ الذَّهَب.
رَطِيئَة,صفة مشبهة لفعل رَطِئ
نِبَار,جمع للاسم نِبْر
قَنِم,صفة مشبهة لفعل قَنِم
أَقَازِل,جمع للاسم أَقْزَل
رِيّ,مصدر لفعل رَوَى
رِيْم,الظَّبْيُ الخالِص البياض.
دُفْق,جمع للاسم أَدْفَق
فَلاَح,النَّجاة والفَوْز بما يُسَرُّ به، وفيه صلاحُ الحالِ، والبقاء في الخير والنَّعيم.
دَوْم,الدَّائم.
عَلَزَان,مصدر لفعل عَلِز
دُقُوس,مصدر لفعل دَقَس
غَلَث,التُّرَاب المتلبد والحَبُّ الأَسود يخالط البُرَّ ونحوَه.
زَاوِيّ,شكلٌ ذو زاوية أَو زوايا.
دَيُّور,صاحب الدَّار.
رُضَمَة,صفة مشبهة لفعل رَضَم
ثُرُوب,جمع للاسم ثَرْب
خَنْبَس,من الرِّجَال: الضَّخْم الكريه المنظر.
هَوَان,مصدر لفعل هَانَ
خِثْرِمَة,طرف أَرنبة الأَنْف إِذا غلُظت.
قَلَم,السَّهْم الذي يُجال بين القَوْم في القِمار والقُرْعة.
طِيقَان,جمع للاسم طَاق
شَوَع,مصدر لفعل شَوِع
نِفْط,مَزيجٌ من الهدروكربونات يحصل عليها بتقطير زين البترول الخام، أَو قَطِران الفحم الحجري، وهو سريع الاشتعال، وأَكثر ما يستعمل في الوَقود.
أَرْفَاش,جمع للاسم رَفْش
صَلَم,مصدر لفعل صَلِمَ
تِمْرَاحَة,الكثير النَّشَاط والخِفَّة.
مُنْي,جمع للاسم مَنِيّ
