lemma,definition
عِشَاش,جمع للاسم عُشّ
صُهَارَة,المنصهر.
دَفِيء,صفة مشبهة لفعل دَفُؤ
سُفَر,جمع للاسم سُفْرَة
مَذْي,ماءٌ رقيقٌ يخرج من مجرى البَوْل من إِفراز غُدَدٍ مُعَيَّنة عِنْد الملاعبة والتقبيل من غير إِرادة.
سَمِيح,صفة مشبهة لفعل سَمُح
رَثِيئَة,الحُمْق وقِلَّة الفطنة.
مُلْتَزَم,ما بين الكعبة والحجر الأَسود.
خَوْزَب,ورمُ ضرع النَّاقة أَو الشَّاة.
بُرًى,جمع للاسم بُرَة
خَضَد,شَجرٌ رِخوٌ بلا شوك.
نَقْر,قَرْعُ الشَّيْء المُفْضِي أَحيانًا إِلى النَّقْب.
دَقَقَة,من يظهرون عيوب النَّاس.
رَاجِف,الحُمَّى ذات الرِّعْدَة.
أَتْرَاك,جمع للاسم تُرْك
صَلْق,الصِّيَاح والولْوَلة.
لَحْمَة,ما يُطعَمه البازي ممَّا يصيدُه.
أَحْوَسِيّ,المستقِرّ.
تَكْعِيبَة,عَرْشُ الكَرْم.
قَمْطَرِير,من الأَيام: الشَّديد الطَّويل المُظْلم.
هِنْدِبَاء,بقلٌ زراعيّ حَوْليّ ومُحْوِل، من الفَصِيلة المركبَّة، يطبخ ورقُه، أَو يُجْعَلُ مُشَهِّيًا. [سلطة].
نَشْنَشَة,صَوْتُ حركة الدِّرع والقِرطاس والثَّوب الجديد ونحوها.
مَصِحَّة,ما يُسَبِّب الصِّحَّةُ .
هَبْهَبِيّ,السَّرِيع الخفيف.
مَنَاحِيت,جمع للاسم مِنْحَات
أَوْلاَج,جمع للاسم وَلَجَة
شَهْرِيَّة,المرتَّبُ ونحوُه يؤقَّت بشهر.
جُبُب,جمع للاسم جَبُوب
رُمْل,جمع للاسم أَرْمَل
مِنْسَج,النَّوْل.
وَعْم,خُطَّةٌ في الجَبَل تُخالفُ سَائِرَ لونِه.
خَظِي,المكْتَنِز.
مَرْبَعَة,الأَرْض ذات اليَرَابيع.
عِصِيّ,تُطلق على عظام الجَناح.
مَعَاطِب,جمع للاسم مَعْطَب
عَقِد,صفة مشبهة لفعل عَقِد
أُصْبُوع,أَحَدُ أَطراف الكفّ أَو القدم.
نُضُوح,جمع للاسم نَضْح
كِلَل,جمع للاسم كِلَّة
فَسْآء,صفة مشبهة لفعل فَسِئ
خَشَّاوَات,جمع للاسم خَشَّاء
مِغْنَطِيس,حجرٌ يَجذِبُ الإِبرَ ونحوَها من خَفيف الحديد لخاصَّة فيه.
قُدُور,جمع للاسم قِدْر
دَرِير,المجتمع الخَلْق.
حَرَّان,صفة مشبهة لفعل حَرَّ
طَرَابِيش,جمع للاسم طَرْبُوش
رَصِين,الرَّزِين.
اشْتِقَاق,في علوم العَرَبِيَّة: صَوْغ كَلِمَة من أُخرى على حسب قوانين الصّرف.
أَقْيَان,جمع للاسم قَيْن
أُسْطُمّ,لُجَّة البَحْر.
عَنَز,جمع للاسم عَنَزَة
بَذَاخَة,مصدر لفعل بَذُخ
ذَفَر,مصدر لفعل ذَفِر
مِلْيَث,الشَّديد العارضة، أو الشَّديد القويّ.
بُرْطُل,قَلَنْسُوَة.
لاَت,صَنمٌ كان في الجاهلية لثقيف بالطَّائِف أَو لقريش بنخلة.
مُسْنَد,من الحديث: ما اتصل إِسنادُه إِلى النَّبِيّ صَلَّى الله عليه وسلَّم.
طَمِيل,النَّصْل العريض.
نُحُت,جمع للاسم نَحِيتَة
شُلُل,جمع للاسم شَلُول
عَيُوث,الكثير العَيْث.
مُعَرَّب,لَفْظٌ أَجْنَبِيٌّ غَيَّرَهُ العربُ ليكون على منهاج كلامِهِمْ.
حِذَف,جمع للاسم حِذْفَة
غَلِيل,شِدَّة العَطَش وحرارتُه.
نَهْجَات,جمع للاسم نَهْج
زَمْهَرِير,شدَّةُ البَرْد.
تُرَّهَة,الفَلاَة.
مَوْتُور,من قُتِلَ له قَتيلٌ فلم يُدْرِكْ بدَمه.
مَرَاوِح,جمع للاسم مِرْوَح
رَفِيض,العَرَق لسيلانه.
جَرَاييل,جمع للاسم جِرْيَال
دَرَارِئ,جمع للاسم دُرِّيء
وُضُوح,البيان والإِظهار.
فَطْء,مصدر لفعل فَطَأ
مُرَاقِب,من يقوم بالرِّقابة.
مِطْفَحَة,مِغْرَفَة تُنزع بها الطُّفَاحة.
صَيْأَة,الماء الذي يكون في السَّلَى.
فُجًا,جمع للاسم فَجْوَة
رُكُونَة,مصدر لفعل رَكُن
رَعَاع,من النَّاس: الغوغاء. الواحد: رَعَاعة.
أُُقْطُوعَة,ما يُبْعَث إِلى الصّاحبة علامةً للمقاطعة والهجران.
كَوْدَن,الفَرَسُ الهجين.
قَاعِد,عن الأَمْر: مَن لا يهتمُّ به. ومنه القاعد عن الجهاد.
غَبَائِق,جمع للاسم غَبُوق
نُمِّيّ,الخيانة.
مِزْجَاء,الكثير الإِزجاء للمَطِيّ.
رِبَاء,الرِّبا.
سُقُب,جمع للاسم سِقَاب
حُجَّاب,جمع للاسم حَاجِب
رَشَم,أَوّل ما يظهر من النَّبْت.
أَبْخَر,صفة مشبهة لفعل بَخِر
نِسَف,جمع للاسم نَسْفَة
ذَرَاح,من اللَّبَن: الذي مُزِجَ بالماء.
مَنَائِر,جمع للاسم مَنَارَة
مِفَضّ,ما يُفَضُّ به مَدَرُ الأَرْض المثارة.
بَهَّات,مبالغة للفعل بَهَتَ
بُرّ,حَبُّ القَمْح. (جمع بُرَّة).
حَتِيرَة,الطَّعَام يُصنع عِنْد الفراغ من البُنيان.
سَلاَلِيم,جمع للاسم سُلَّم
مُقَام,موضِع الإِقامة.
خَثَرَان,مصدر لفعل خَثَر
مُرِضَّة,كل ما يُرِضُّ العرقَ ويُسِيلُه من مأكولٍ ومشروب.
نِبَال,جمع للاسم نَبْل
خُلْطَة,اسمٌ من الاخْتِلاط.
أَطْوَار,جمع للاسم طَوْر
عُظَّامَة,ما تَتَّخِذُهُ المَرْأَةُ لتُعَظِّمَ به عجيزتَها.
جُرّ,جمع للاسم جُرَّة
قَدَرَة,حدٌّ معلومٌ بين كلِّ نخلتين أَو شَجَرتين.
بَوْش,الجَمَاعَة في كثرة واختلاط.
فَشَاء,تَناسُلُ المالِ. (أَي الغَنَم السّائمة والإِبل) وكثرتُه.
وَقَارَة,مصدر لفعل وَقُر
مُوَأَّمَة,بَيْضَة الحديد الَّتِي لا قَوْنَس لها، سُمِّيت بذلك لتشويه خِلقتها.
حَائِت,الكثير العذل.
نَشَأ,جمع للاسم نَاشِئ
تَخَثُّر,في علم الطِّبّ: تجلّط الدّم في الشَّرايين بسبب تغيُّرٍ مَرَضيٍّ بِجُدُرها أَو بالدّم.
هَيْئَة,الحال التي يكون عليها الشَّيْء محسوسةً كانت أَو معقولة.
رَفَائِد,جمع للاسم رَفُود
مَسَالِح,جمع للاسم مَسْلَح
خَرْسَاء,الأَفْعَى.
أَحْوَز,السَّائق الخفيف.
هُذَامَة,الشَّفرة السَّرِيعَة القَطع.
فَرْزَة,شَقٌّ يكونُ الغِلَظ.
مَخَاض,من النَّهْر الكبير: الموضع القليل الماء الذي يعبُرُ فيه النَّاسُ النَّهْرَ مُشاةً ورُكبانًا.
قُدُم,المُضِيّ إِلى الأَمام.
خَرُور,مبالغة للفعل خَرّ
نَفُوض,مبالغة للفعل نَفَض
صِيَارَة,حظيرة الدَّوَابّ.
سَيَّاح,الكثير السِّياحة.
دَمَق,البَرَد مع الرِّيح يغشى الإِنْسَانَ من كلِّ أَوبٍ حتى يكاد يقتل.
المُحَرَّم,أَوَّل شهور السَّنَة الهجريّة القَمَريّة،وهو ثالث الأَشهر الحُرُم الثلاثة المتتابعة. يَليه صَفَر، ولا يأتي إِلاَّ معرّفًا بـ (أل).
أَجْهِضَة,جمع للاسم جَهَاض
لأْمَان,اللَّئِيم طَبْعًا. ولا يستعمل إِلاَّ في النّداء. يُقال: يالأْمَان.
سَمَاجَة,مصدر لفعل سَمُج
جَاهِث,صفة مشبهة لفعل جَهَث
سَيْدَاق,شَجَرٌ ذو ساقٍ قويَّةٍ، قشرُه حُرَّاقٌ، ورَمادُ خشبِهِ المحروق يُبَيَّضُ به غزلُ الكَتَّان.  واحدته: سَيْدَاقَة.
مِزْلاَج,المِغلاق إِلا أَنه يفتح باليد، والمغلاق لا يفتح إِلا بالمِفْتَاح.
أَحْقَاء,جمع للاسم حَقْو
نُخْط,النُّخاع.
أُنْبُوش,ما نُبِش.
كَثَث,مصدر لفعل كَثّ
مِغْوَار,من الرِّجَال: المُقَاتِلُ الكثير الغارات على أَعدائه.
بَيْنُونَة,مصدر لفعل بَانَ
رَصْعَاء,صفة مشبهة لفعل رَصِع
زَهَالِيل,جمع للاسم زُهْلُول
مَهْلَة,صديدُ الميِّت خاصَّة.
طَبْع,المثال أَو الصِّيغَة.
أَتْرَاب,جمع للاسم تُرْب
نَجِيب,الفاضل على مِثْلِهِ النَّفيس في نوعه.
تَرِيك,العُنْقُود والعِذْق، أُخذ ما عليهما من ثمر.
أَنَاصِيب,جمع للاسم أُنْصُوبَة
أَكْشَم,صفة مشبهة لفعل كَشِم
نَقْرَشَة,الحِسُّ الخفِيّ.
أَمَاكِن,جمع للاسم مَكَان
غَدَاء,طعام الغُدْوة.
آمٍ,جمع للاسم أَمَة
مَجُوس,قَومٌ كانوا يعبُدون الشَّمْسَ والقَمَرَ والنَّارَ. وأُطلِق عليهم هذا اللَّقَب منذ القرن الثَّالِث الميلاديّ.
حَبَق,نبات عشبي تَزْيينيّ حَوْليّ صَيْفيّ من فصيلة الشَّفويّات. أَوراقه وأَزهارُهُ فَوَّاحةُ العرف العَطِر طَيِّب الرَّائِحَة.
هُتْر,ذَهاب العَقْل من مَرَض أَو كِبَر أَو حُزن ونحوها.
جَلْهَمَة,إِحدى حافَتَي الوادِي وهما بمنزلة الشَّطَّين.
تَمْحِيص,الابتلاء والاختبار.
ثَلْب,مصدر لفعل ثَلَبَ
جَهَد,مصدر لفعل جَهِد
رَعَّاسَة,مبالغة للفعل رَعَس
بَاهَة,البَاه.
أَمْنَاء,جمع للاسم مَنَا
بَسْبُوسَة,حَلْوى تُتَّخذ من دقيق البُرِّ والسّكّر والسَّمن.
عَوَاصِم,جمع للاسم عَاصِمَة
الطَّاوِي,الضَّامِر.
رُعْظ,مدخَلُ أَصل النَّصل، أَو الثَّقب في السَّهْم الذي يَدْخُلُ فيه أَصل النّصل.
هَثْم,مصدر لفعل هَثَم
فَئِيد,ما شُوِيَ وَخُبِزَ على النَّار.
بَطْرِيَرْكِيَّة,اسم أُطلق على كُلّ من الكراسيّ الأَربعة الأولى في العالَم المسيحي. وصار لكلِّ بطريركيّة نفوذٌ روحيٌّ على المناطق التَّابعة لها.فبطريركيّة الإِسكندرية مثلاً يتبعها دينيًّا مَسِيحيُّو مِصْرَ والنُّوبة وليبيا وإِثيوبيا (الحبشة) وبعض أَقاليم إِفريقية وآسيا.   وتطلق أَيضاً على مقرّ البَطْرِيَرْك في عاصمة كُرْسِيِّهِ.
رِخَال,جمع للاسم رِخْل
رُفَهْنِيَة,رَغَدُ العَيْش، وسَعَةُ الرِّزْق والخِصْب والنَّعيم.
سَحْمَاء,صفة مشبهة لفعل سَحِم
نُكَت,جمع للاسم نُكْتَة
سَلاَئِج,جمع للاسم سَلِيجَة
زَنَق,موضعُ الزِّناق.
عَفّ,صفة مشبهة لفعل عَفّ
ثأْي,الخَرْم.
زِيَان,كلُّ ما يُتَزَيَّن به.
سَنْهَاء,من النَّخيل: تَحمل سَنَةً ولا تحمل أخرى.
مَسْحَف,أَثر الحية في الأَرْض.
حَوَادِر,جمع للاسم حَادِر
أَزْرَقِيّ,الأَزرق اللّون.
نَوَاجِيد,جمع للاسم نَاجُود
شُعْبَة,الفِرقة من الشَّيْء.
أَفْقَم,من الأُمور: الأَعوج المخالِف.
مِهْزَاق,من الدَّوَابّ: الكثير القَمْص.
هُبُور,جمع للاسم هَبْر
مَشِج,كلُّ شيئين مختلطين، أَو كلُّ لونين اختلطا.
خَلْخَال,حِليةٌ كالسِّوار تلبسها النِّساء في أَرجلهن.
مَحَايِض,جمع للاسم مَحِيض
أَصِمَّة,جمع للاسم صِمَام
مَرْق,الإِهاب المُنْتِنُ امَّرَط عنه صوفه.
ثُعُب,جمع للاسم ثَعُوب
شَرْز,الشَّرّ.
دَنَس,الوَسَخ.
نَيُوب,من النُّوق: المُسِنَّة.
نَامِرَة,حديدةٌ لها كلاليبُ تُجعَلُ فيها لحمةٌ يصاد بها الذِّئْب.
خَرَامِل,جمع للاسم خِرْمِل
نَسُوء,الحليبُ إِذا أُخِرَّ تناولُه فحمُضَ فمُدَّ بماء.
صُوَّام,جمع للاسم صَائِم
رَضِيّ,الرَّاضي.
جُسُوء,الجُسُوء البسيط في الرِّيَاضَة: مرونة التَّزَحْزُح.
وَثَل,الحَبْلُ من اللِّيف.
سَوْآء,الخَلَّة القبيحة.
أَحْمَال,جمع للاسم حَمْل
أَصْوِرَة,جمع للاسم صُوَار
بَسْطِرْمَة,لحم فَخِذٍ يُعالج بالثُّوم والتَّوابل، ثم يُضغط ويُقدَّد.
غَفْق,المَطَرُ ليس بالشَّديد.
صَمَّاغَة,قارورة أَو نحوُها فيها صمغٌ يُلصَق به الورق.
طَاق,ما عُطِفَ وجعل كالقَوْس من الأَبنية.
نَادِبَة,المَرْأَةُ تبكي الرَّجُلَ المَيِّتَ وتعدِّد محاسِنَه.
هَبْهَب,السَّرِيع الخَفيف.
كَآبَة,مصدر لفعل كَئِب
حُرْكُوك,الكاهل.
وَشْنَان,الأُشنان، وهو من الحَمْض.
نُوْتَة,كُنَّاشة صَغيرةٌ تقيد فيها الملاحظات والخواطر وما أَشبه ذلك.
غُضَابِيّ,الكَدِرُ في مُعاشرته وخالقته.
مَرَادِن,جمع للاسم مِرْدَن
عَيْلاَم,الضَّبُعُ الذَّكَر.
ثارات,جمع للاسم ثَأْر
بِيْعَة,مَعبد النَّصَارَى.
قَاتِم,ما كان لونه أَغْبَرَ ضاربًا إِلى سوادٍ أَو حُمْرة.
تُخُوت,جمع للاسم تَخْت
ذُعُر,جمع للاسم ذَعُور
ضِرّ,ما كان من سوء حال أَو فقر أَو شِدَّة.
رُدَّى,المطلَّقة.
هَبَش,مصدر لفعل هَبِش
يَقَنَة,من النَّاس: الذي لا يَسمع شيئاً إِلا أَيقن به. [والهاء للمبالغة].
قَيْطُون,المُخْدَع.
أَرْهَاء,من الشَّيْء: جَوانبه.
وَقْصَاء,صفة مشبهة لفعل وَقِص
أَرْبَع,من أَلفاظ العدد.
عَظْو,مصدر لفعل عَظَا
صَنْجَة,السَّنجة.
زُرُور,جمع للاسم زِرّ
وَجِل,صفة مشبهة لفعل وَجِل
بَطِل,صفة مشبهة لفعل بَطِل
قَمَاطِر,جمع للاسم قِمَطْر
نُبَلاَء,جمع للاسم نَبِيل
بُرُد,جمع للاسم بَرُود
ظَاهِر,خِلاَف الباطِن.
هَزَم,الصَّوت.
جَدَم,جمع للاسم جَدَمَة
وَجَالَة,مصدر لفعل وَجُل
قُصْب,الظَّهْر.
جَمَاهِير,جمع للاسم جُمْهُور
قُمَز,جمع للاسم قُمْزَة
حُطُط,جمع للاسم حَطُوط
مَيَاسِين,جمع للاسم مَيْسَان
عُرْفُط,نبات من العضاه من الفَصِيلة القرنية.
دَحْدَاحَة,مُؤَنَّث الدَّحْدَاح.
مِبْدَان,السَّرِيع إِلى السِّمَن على قلّة أَكْلِه.
أَلُوف,الكثير الأُلْفَة.
رَدَح,المدة الطَّويلة.
زَوَافِر,جمع للاسم زَافِرَة
صَلاَح,الاستقامة.
عُوَم,جمع للاسم عَامَة
سُمَاهِج,من اللَّبَن: الذي ليس بحلو ولم يأْخذ طعما.
سِيَات,جمع للاسم سِيَة
قُطُر,جمع للاسم قِطَار
شِفَاف,جمع للاسم شَفِيف
مَسَالِف,جمع للاسم مِسْلَفَة
نَضْخَة,المَطْرة.
أَرْجَاز,جمع للاسم رُجْز
صَدْغ,مصدر لفعل صَدَغ
خُدَد,جمع للاسم خُدَّة
مَصُوغ,الحُلِيُّ المَصُوغَة.
وَجِيهَة,صفة مشبهة لفعل وَجُه
مِيضَأَة,الإِداوة فيها ماءٌ يُتوضَّأ به.
بُدُل,جمع للاسم بِدَال
قُتْم,جمع للاسم أَقْتَم
مَقَطّ,من الفَرَس: مُنْقَطَع شَرَاسِيفه.
قَلَبَة,الإِصابة بالقُلاب.
ذَمِرَة,الصَّوت.
سَالِبَة,مؤنَّث سَالب.
شَكِرَة,صفة مشبهة لفعل شَكِر
مِخْذَعَة,السِّكِّين.
سُلْوَة,كلُّ ما يُسلِي.
وَافِه,قَيِّمُ البِيعَة. [بلغة أَهل الحيرة].
ذَكْوَة,ما تُذْكَى به النَّار.
مِقْوَل,الكثير القَوْل الظَّريف اللَّسِن.
عَمَم,الاجتماع والكثرة.
مَرْكَب,ما يُركَب في البرِّ والبَحْر. وغلب استعماله في السَّفينة.
حُوْبَة,الإِثم.
جَأَبَات,جمع للاسم جَأْبَة
شُطُوء,مصدر لفعل شَطَأ
قِدَد,جمع للاسم قِدَّة
أَصْلاَء,جمع للاسم صَلاَ
سَهُوج,الرِّيح الشَّديدة.
مِنْهَت,الأَسَد.
قُمَامَة,الكُناسة تجمع من البُيُوت والطُّرق.
وُدّ,صَنَمٌ عَبَدَه العَربُ الجَاهِليُّون.
رَوَح,مصدر لفعل رَوِح
طَخْيَاء,من اللَّيالي ونحوها: الشَّديدة الظُّلْمَة.
يَهْوَه,اسم الله تعالى بالعبرانِيَّة.
بُراشِم,الحديدُ النَّظر.
وُلْيَا,مُؤَنَّث الأَوْلَى.
رُقْيَة,العُوذَة الَّتِي يُرْقَى بها المَرِيْض ونحوُه.
وِخِيّ,جمع للاسم وَخْي
دَاجِنَة,الْمَطْرَة العَظِيمة.
مَرَع,مصدر لفعل مَرِع
شَغْر,مصدر لفعل شَغَر
حَذْو,مصدر لفعل حَذَا
جُعَل,حيوان كالخنفساء يكثر في المواضع النَّدِيَة.
أَسْدَان,جمع للاسم سَدِين
مِغْفَار,صَمغٌ حُلو يسيل من شَجَر العُرفُط يُؤكل، أَو يوضع في ثَوْب ثم يُنْضح بالماءِ فيُشْرَب.
جَلاَء,الأَمْرُ البَيِّنُ الواضِحُ.
خُبَاسَاء,الغَنِيمَة.
وُثُوق,مصدر لفعل وَثِق
كُوسَى,الجُودُ والظُّرف. الكُوسَى: الكَيْس، مثل الحُسْنَى بمعنى الحُسن.
نَيْع,مصدر لفعل نَاع
خَلِيق,صفة مشبهة لفعل خَلُق
سَهْف,حَرْشَفُ السَّمَكِ خاصَّةً.
وَهْف,مصدر لفعل وَهَف
زَرَّاد,صانع الزَّرَد.
مَسَاكِب,جمع للاسم مِسْكَبَة
سَحّ,مصدر لفعل سَحَّ
جَسِيم,العَظِيم الجِسم البَدين.
سِيْجَار,لِفافةٌ غليظةٌ طويلة من التَّبغ الخالص غير المَفْرِيّ تستخدم للتَّدْخِين.
جَحْدَاء,صفة مشبهة لفعل جَحِد
مَخَايِل,جمع للاسم مَخِيلَة
فَدْم,من الرِّجَال: الثَّقيل الفهم العَييّ عن الكلام مع ثِقَلٍ ورَخاوةٍ وقلَّةِ فِطنة.
نُقَرَة,داءٌ يُصِيب الماشيَةَ في أَرْجُلها.
أَطْلاَء,جمع للاسم طَلاَ
مَهْنَة,مصدر لفعل مَهَنَ
خِطْب,المَرْأَةُ المَخْطوبَة.
رُقَارِق,المُتَرَقْرِق.
مُشَاشَة,رأْس العظم اللَّيِّن الذي يُمكن مضغهُ.
كِعْتَان,جمع للاسم كُعَيْت
مَرْهَم,طِلاَءٌ لَيِّنٌ يُطْلَى به الجُرحُ، أَو يُدْلَك به الجِلدُ، أَو تُكحَل به العَيْن. وقيل هو مُعَرّب.
زَحْم,القَوْم المُزْدَحِمُون.
نَقَابَة,مصدر لفعل نَقُب
غِنَاظ,الهَمُّ الشَّديد والمشقَّة.
نَجْوَى,إِسرار الحديث.
حُوْز,جمع للاسم أَحْوَز
دَرُوص,النَّاقة السَّرِيعَة.
تَرَاعِيب,جمع للاسم تِرْعِيبَة
رَقَبَات,جمع للاسم رَقَبَة
بُرْج,الحصْن.
خِيَاض,مصدر لفعل خَاض
حَيَرَان,مصدر لفعل حَارَ
شَرِيف,صفة مشبهة لفعل شَرُف
عُضُوبَة,مصدر لفعل عَضُب
أَحَابِيش,جمع للاسم أُحْبُوش
نَوَاهِق,جمع للاسم نَاهِق
سِنَاب,الطَّوِيل الظَّهر والبَطْن.
عَلِث,المنسوب إِلى غير أَبيه.
أَسْآر,جمع للاسم سُؤْر
خَرْقَاء,الأَرْضُ الوَاسِعَةُ تَنْخَرِق فيها الرِّيَاحُ.
وَرْطَة,اسم المرَّة.
كَيْمُوسِيَّة,الحاجة إِلى الطَّعَام والغِذاء.
سِلْك,الخيطُ الذي ينظم فيه الخرز ونحوه.
نِيْب,جمع للاسم نَاب
كَدَاة,كلُّ ما جُمِعَ من تُرابٍ ونحوه فجُعِلَ كُثبة.
جُعْشُم,القصير الغليظ مع شدّة.
مُشَعْبِذ,صفة مشبهة لفعل شَعْبَذ
كَزَم,مصدر لفعل كَزِم
دَمَّان,الذي يسمِّد الأَرْض.
ضَعْفَى,جمع للاسم ضَعِيف
رَمَكَة,الضَّعيف.
بِئْزَان,جمع للاسم بَأْز
مِحَكّ,ما يُحَكُّ به من حجر وغيره.
وَكْرَة,المَرَّة.
حُثَم,جمع للاسم حُثْمَة
لَصَف,شجيرةٌ شوكيّةٌ تنمو في منطقة حوض البَحْر المُتَوَسِّط ذاتُ أَزهار بيض من الفَصِيلة اللَّصَفِيَّة.
قَضْع,مصدر لفعل قَضَع
دَامِيَة,من الشِّجاج الإِحدى عَشرة: الثَّالِثة، وهي الشَّجَّة برز دمُها ولم يَسِل. وهي أَقوى من الباضِعة، وأَخفّ من الدَّامعة.
إِسَاف,جمع للاسم أَسِيف
سِلْب,قصبة المحراث.
أَقِنَّة,جمع للاسم قِنّ
عَنَزِيّ,"رجلٌ من بني عَنَزة، خرج في جَنْي القَرَظ فلم يرجِع، وضُرِبَ به المثل فقيل: \""""لا أَفعلُ كَذا حتى يؤوب القارظُ العَنَزيّ\"""": لا أَفعله أَبدًا."
دَغَم,مصدر لفعل دَغِم
خُسُوف,مصدر لفعل خَسَف
سَبْلاَء,من النِّسَاء: ما كان لها شعر على شفتها العليا.
أَحْكَاك,جمع للاسم حَكَك
رِدّ,ما يُرَدُّ.
ذَلَف,مصدر لفعل ذَلِف
مَوْقِر,الموضعُ السَّهل عِنْد سَفح الجَبَل.
طِحَال,عُضوٌ كبير يَقع بين المَعِدة والحِجاب الحاجز في يسار البَطْن، تَتَّصِل وظيفتُهُ بتكوين الدَّم وإِتلاف القديم من كُرَيَّاته.
مَعْبَد,مكان العبادة.
سَعِير,النَّار.
أَسْو,مصدر لفعل أَسَا
وَطَّاس,الرَّاعِي.
سَحْت,الثَّوب الخَلَق.
بُيُود,مصدر لفعل بَادَ
خَنِيف,الطَّرِيق.
مُنَايَرَة,الشَّرّ.
أَصِيدَة,قميص صغير بلا أَكمام، تلبسه الصَّغِيرَة، فإذا كبِرت دُرِّعت.
أَكَاذِيب,جمع للاسم أُكْذُوبَة
أَرْمَد,من الثِّيَاب: الأَغبر والوَسِخ.
جُشَأ,جمع للاسم جُشْأَة
بَطْحَة,مسافة بمقدار قامة المنبطح.
عُيَّط,جمع للاسم عَائِط
جُفُرَّى,وِعَاءُ الطّلع.
سَوَاكِن,جمع للاسم سَاكِنَة
فَوْه,مصدر لفعل فَاه
قُبُون,مصدر لفعل قَبَن
فَقَرَات,جمع للاسم فَقَرَة
سَيَاب,البسر الأَخضر.
هَوْدَك,السَّمين.
أَجُوم,المَلُول الشَّدِيد الكراهة للشَّيْء.
خَال,أَخو الأُمّ.
رَغِيب,الكثير الأَكل الشَّدِيد النَّهَم من النَّاس وغيرهم.
مُفَعَّاة,طَابَعٌ بصورة الأَفعى تُوسَم به الإِبل وغيرُها.
وَقِير,من الأَشياء: إِذا كان فيه هَزَمات.
دِرْبَاس,الأَسَد.
زِمْل,الحِمْل.
خَوًى,مصدر لفعل خَوَى
دُيُون,جمع للاسم دَيْن
خِيفَة,مصدر لفعل خَاف
نُمْنُم,القَمْلَة الصَّغِيرَة.
بَسْط,في علم الحِسَاب: العَدَدُ الأَعلى في الكسر الاعتياديّ كالعدد (5) في الكسر (5/7).
مَحَامِد,جمع للاسم مَحْمَد
بَارُود,خِلط من ملح البارود والكبريت، والفحم، يكون في قذائف الأَسلحة النَّاريَّة، ويُستعمل في النَّسْف أَيْضًا وتفجير الصُّخُور. ويُسمَّى مِلْح الصِّين.
حُثّ,المَدْقُوق مِن كُلِّ شَيْءٍٍ.
خَوْخَة,كُوَّة في البَيْت تؤَدِّي إِليه الضَّوْء.
وَعِيب,الواسِع الذي يَستوعب ما يُجْعَل فيه.
لَمُوص,الكذَّاب الخدَّاع.
كَسَاد,عدم نفاق الشَّيْءِ لقِلَّة الرَّغبة فيه.
خَزْيَان,صفة مشبهة لفعل خَزِي
بُزَاع,صفة مشبهة لفعل بَزُع
أَنَابِير,جمع للاسم أَنْبَار
شَجَائِع,جمع للاسم شَجِيعَة
وُقُوف,خِلاَفُ الجُلوس.
عَشْمَاء,مؤنَّث الأَعْشَم.
مَأْلُك,الرِّسَالة.
صَمِخَة,من النِّسَاء: الغَضَّة.
نُصُب,جمع للاسم نِصَاب
هَجًى,مصدر لفعل هَجِي
أَغِرَّاء,جمع للاسم غَرِير
لَسِن,ما جُعِلَ طَرَفُهُ كطَرَفِ اللِّسَان.
جُلَب,جمع للاسم جُلْبَة
دِلاَص,اللَّيِّن البَرَّاق الأَمْلَس.
رُسُع,جمع للاسم رَسِيع
أَهْبِيَة,جمع للاسم هَبَاء
شِيشَاء,تَمْر لم يَتِمَّ نضجه لسوء تأْبيره أَو لفسادٍ آخَرَ.
سُخَامِيّ,الأَسود.
جَهَائِز,جمع للاسم جَهِيزَة
طَنْف,ما بَرَزَ من الجَبَلِ ونحوِه، كأَنه جَناح.
مُحَافِر,من الرِّجَال: من لا شيءَ له.
مَوَاضِغ,الأَضراس.
مَنْقَب,الطَّرِيق الضَّيِّق في الجَبَل.
طَمْي,الطِّين يحمِله السَّيْل ويستقرّ على الأَرْض رطبًا أَو يابساً.  وهو الغرين.
رِكَاسَة,الآخِيَّة: للعروة تثبت في أَرض أَو حائط وتُرْبَط فيها الدَّابة.
حَشِيّ,الذي يشتكي حَشاه.
سُتُّوق,من الدَّراهم: الزَّيْف البَهْرَج الذي لا قيمة له.
مِسْك,ضَربٌ من الطِّيب يتَّخذ من ضربٍ من الغِزلان. القِطْعَة منه: مِسْكَة.
دَوَاجٍ,جمع للاسم دَاجِيَة
زَوَاهِد,جمع للاسم زَاهِدَة
مُخَالَصَة,صكٌّ يَعترف فيه الدَّائن بِبراءَة ذِمّة المدين.
ثِبَان,ما تثنيه من طرف ثَوْبِك فتجعل فيه شيئاً تحمله.
أَبْلَق,صفة مشبهة لفعل بَلِقَ
بَرَوَات,جمع للاسم بَرْوَة
هَزَمَات,جمع للاسم هَزْمَة
زُقَاق,الطَّرِيقُ الضَّيقُ نافذاً أَو غير نافذٍ. (يُذَكَّر ويُؤَنَّث).
قَوْت,مصدر لفعل قَات
هَصْهَاص,البَرَّاق العَيْنين.
مَسْقَمَة,الأَرْض تكثر فيها الأَسقام.
دَيْدَن,العادة والدَّأْب.
رَشْح,كل ما يَرْشَح من العَرَق ونحوِه.
أَشْبَار,جمع للاسم شِبْر
شَيِّع,المشارك في شيء مُشَاعٍ.
خَجِل,صفة مشبهة لفعل خَجِل
